2025-05-22 00:59:01 - [Item]waasdasd update [1354362]150007 plus [0] s1[NoSocket]s2[NoSocket]
2025-05-22 01:11:47 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:55 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:55 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:55 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:11:55 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:09 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:09 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:09 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:09 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:18 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:18 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:18 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:18 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:39 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:39 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:39 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:39 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:57 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:57 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:57 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:57 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:57 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:57 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:57 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:12:57 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:18 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:18 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:44 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:44 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:45 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:45 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:47 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:47 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:55 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:13:55 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:14:02 - [Item]DSConquer[PM] update [1354308]196625 plus [0] s1[NoSocket]s2[NoSocket]
2025-05-22 01:14:07 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:14:07 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:14:07 - [Item]DSConquer[PM] update [1354280]500329 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:14:07 - [Item]DSConquer[PM] update [1354348]150249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:14:55 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:14:55 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:14:55 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:14:55 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:07 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:07 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:07 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:07 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:38 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:38 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:38 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:38 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:40 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:40 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:40 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:15:40 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:16:50 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:16:50 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:16:50 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:16:50 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:16:50 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:16:50 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:16:50 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:16:50 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:05 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:05 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:05 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:05 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:13 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:13 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:13 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:13 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:25 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:25 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:25 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:25 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:52 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:52 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:52 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:17:52 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:25 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:25 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:25 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:25 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:25 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:25 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:25 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:25 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:36 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:36 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:36 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:36 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:58 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:58 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:58 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:18:58 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:25 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:25 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:25 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:25 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:29 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:29 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:29 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:29 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:32 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:32 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:32 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:32 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:34 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:34 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:34 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:34 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:55 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:55 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:55 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:55 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:55 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:55 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:55 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:19:55 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:21 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:21 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:21 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:21 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:24 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:34 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:34 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:34 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:34 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:36 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:36 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:36 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:36 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:55 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:55 - [Item]DSConquer[PM] update [1354349]160249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:55 - [Item]DSConquer[PM] update [1354353]130109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:55 - [Item]DSConquer[PM] update [1354354]118109 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
2025-05-22 01:20:57 - [Item]DSConquer[PM] update [1354347]120249 plus [12] s1[SuperDragonGem]s2[SuperDragonGem]
